Accession	Virus Name	Submitter Affiliation	Submitter Names	dataset
MF673272.1	Influenza A virus (A/Thailand/CU-B20852/2017(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673271.1	Influenza A virus (A/Thailand/CU-B20791/2017(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673270.1	Influenza A virus (A/Thailand/CU-B20712/2017(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673269.1	Influenza A virus (A/Thailand/CU-B20489/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673268.1	Influenza A virus (A/Thailand/CU-B20369/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673267.1	Influenza A virus (A/Thailand/CU-B20276/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673266.1	Influenza A virus (A/Thailand/CU-B20273/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673265.1	Influenza A virus (A/Thailand/CU-B19865/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673264.1	Influenza A virus (A/Thailand/CU-B19855/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673261.1	Influenza A virus (A/Thailand/CU-B19263/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673260.1	Influenza A virus (A/Thailand/CU-B19094/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673257.1	Influenza A virus (A/Thailand/CU-H3756/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673256.1	Influenza A virus (A/Thailand/CU-B18515/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673255.1	Influenza A virus (A/Thailand/CU-B18308/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673254.1	Influenza A virus (A/Thailand/CU-B18053/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673253.1	Influenza A virus (A/Thailand/CU-B18041/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673252.1	Influenza A virus (A/Thailand/CU-B18031/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673251.1	Influenza A virus (A/Thailand/CU-B17583/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673250.1	Influenza A virus (A/Thailand/CU-B17573/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673249.1	Influenza A virus (A/Thailand/CU-B17430/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673248.1	Influenza A virus (A/Thailand/CU-H3742/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673247.1	Influenza A virus (A/Thailand/CU-B17183/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673245.1	Influenza A virus (A/Thailand/CU-B16949/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673244.1	Influenza A virus (A/Thailand/CU-B16825/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673243.1	Influenza A virus (A/Thailand/CU-B16720/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673242.1	Influenza A virus (A/Thailand/CU-B16712/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673241.1	Influenza A virus (A/Thailand/CU-A2407/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673240.1	Influenza A virus (A/Thailand/CU-C6513/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673239.1	Influenza A virus (A/Thailand/CU-B16161/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673238.1	Influenza A virus (A/Thailand/CU-B15894/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673237.1	Influenza A virus (A/Thailand/CU-B15712/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673236.1	Influenza A virus (A/Thailand/CU-B15317/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673235.1	Influenza A virus (A/Thailand/CU-B15149/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673234.1	Influenza A virus (A/Thailand/CU-B14944/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673233.1	Influenza A virus (A/Thailand/CU-A2160/2016(H3N2))	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics	Suntronwong,N.,Klinfueng,S.,Vichiwattana,P.,Korkong,S.,Thongmee,T.,Vongpunsawad,S.,Poovorawan,Y.	seasonal-flu-h3n2-ha-2016-2018
MF673163.1	Influenza A virus (A/Beijing/PUMCH02/2017(H3N2))	Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology, Chinese Academy of Medical Sciences	Ren,L.,Yang,B.,Xiao,Y.,Cao,D.,Wang,J.	seasonal-flu-h3n2-ha-2016-2018
MF599432.1	Influenza A virus (A/Kenya/016/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599431.1	Influenza A virus (A/Kenya/003/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599430.1	Influenza A virus (A/Kenya/013/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599429.1	Influenza A virus (A/Kenya/012/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599428.1	Influenza A virus (A/Kenya/010/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599427.1	Influenza A virus (A/Kenya/005/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599426.1	Influenza A virus (A/Kenya/008/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599425.1	Influenza A virus (A/Kenya/004/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599423.1	Influenza A virus (A/Kenya/007/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599422.1	Influenza A virus (A/Kenya/015/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599420.1	Influenza A virus (A/Kenya/011/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599419.1	Influenza A virus (A/Kenya/009/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF599417.1	Influenza A virus (A/Kenya/001/2017(H3N2))	US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses	Bulimo,W.D.,Opanda,S.M.,Majanja,J.M.,Njiri,J.,Wadegu,M.O.	seasonal-flu-h3n2-ha-2016-2018
MF593744.1	Influenza A virus (A/Shandong-Zhifu/1128/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593743.1	Influenza A virus (A/Shandong-Fushan/1157/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593742.1	Influenza A virus (A/Shandong-Zhifu/1125/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593740.1	Influenza A virus (A/Shandong-Zhifu/1175/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593739.1	Influenza A virus (A/Shandong-Fushan/1183/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593738.1	Influenza A virus (A/Shandong-Zhifu/1174/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593737.1	Influenza A virus (A/Shandong-Zhifu/1158/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593736.1	Influenza A virus (A/Shandong-Zhifu/148/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593734.1	Influenza A virus (A/Shandong-Zhifu/154/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593733.1	Influenza A virus (A/Shandong-Zhifu/1666/2016(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593732.1	Influenza A virus (A/Shandong-Fushan/1726/2016(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593731.1	Influenza A virus (A/Shandong-Fushan/1721/2016(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593729.1	Influenza A virus (A/Shandong-Fushan/1631/2016(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593728.1	Influenza A virus (A/Shandong-Zhifu/164/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593727.1	Influenza A virus (A/Shandong-Zhifu/149/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593726.1	Influenza A virus (A/Shandong-Zhifu/162/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593724.1	Influenza A virus (A/Shandong-Fushan/148/2017(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593723.1	Influenza A virus (A/Shandong-Fushan/1257/2016(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF593722.1	Influenza A virus (A/Shandong-Zhifu/1185/2016(H3N2))	Yantai Center for Disease Control and Prevention	Liu,J.	seasonal-flu-h3n2-ha-2016-2018
MF195742.1	Influenza A virus (A/Quebec/152/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195741.1	Influenza A virus (A/Quebec/95/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195740.1	Influenza A virus (A/Quebec/65/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195739.1	Influenza A virus (A/Ontario/233/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195738.1	Influenza A virus (A/Ontario/231/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195737.1	Influenza A virus (A/Ontario/196/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195736.1	Influenza A virus (A/Ontario/144/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195734.1	Influenza A virus (A/Ontario/068/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195733.1	Influenza A virus (A/Ontario/051/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195732.1	Influenza A virus (A/Ontario/049/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195731.1	Influenza A virus (A/Ontario/047/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
MF195730.1	Influenza A virus (A/Ontario/045/2016(H3N2))	British Columbia Centre for Disease Control, Clinical Trials	Skowronski,D.M.,Chambers,C.,Sabaiduc,S.,De Serres,G.,Winter,A.-L.,Dickinson,J.A.,Gubbay,J.B.,Drews,S.J.,Charest,H.,Bastien,N.,Li,Y.,Krajden,M.	seasonal-flu-h3n2-ha-2016-2018
